timestamp,Label,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4
1542222172,0,0.515790582,0.656037331,0.633604467,0.598957479,0.675705135,0.688232422,0.087208852,0.559981883,1.441278338,1.831492186,1.469816923,1.55439496,0.842187047,1.409103036,1.159711838,1.13184917,0.487223417,0.513792455,-0.156266794,0.395204216,0.071812272,0.042664059,0.085742272,0.066775426,0.103779897,0.045947008,0.02436685,0.061043732,0.604903996,0.639023662,0.588040769,0.602634728,0.152263269,0.241617233,0.287940234,0.227776214,0.067240581,0.030748028,0.013909891,0.041769899,0.239436626,0.333333343,0.526315808,0.400000006,0.368421048,0.727272749,0.115384616,0.436619729,0.558441579,0.774999976,0.609756112,0.640449464,0.42696628,0.948453605,0.888888896,0.768421054,0.300000012,0.682539701,0.119047619,0.369047612
1542222172,0,0.515790582,0.656037331,0.64104557,0.598957479,0.675705135,0.685559988,0.098245926,0.559981883,1.441278338,1.821829319,1.494320273,1.55439496,0.842187047,1.413152218,1.167618632,1.13184917,0.487223417,0.500174344,-0.12364848,0.395204216,0.071812272,0.043227252,0.083658822,0.066775426,0.103779897,0.046267953,0.023972433,0.061043732,0.604903996,0.633212745,0.596741796,0.602634728,0.152263269,0.247099847,0.281245023,0.227776214,0.067240581,0.030192191,0.014381948,0.041769899,0.239436626,0.333333343,0.543859661,0.400000006,0.368421048,0.704545438,0.134615391,0.436619729,0.558441579,0.762499988,0.634146333,0.640449464,0.42696628,0.948453605,0.888888896,0.768421054,0.300000012,0.666666687,0.190476194,0.369047612
1542222172,0,0.598828197,0.656037331,0.678868473,0.570009708,0.723119855,0.672405064,0.112915106,0.692556858,0.839562774,1.793256879,1.539682746,0.97935158,0.63046205,1.389096618,1.179581881,0.500137985,0.980087996,0.492516696,-0.080159292,0.688061655,0.132389829,0.045769349,0.08423695,0.141718119,0.176256955,0.047527228,0.022884913,0.187919781,0.230456606,0.627760887,0.611388028,0.363720059,0.142392948,0.24753356,0.266818583,0.12065731,0.318503648,0.031408999,0.014671512,0.185984731,0.366197169,0.333333343,0.61403507,0.345454544,0.456140339,0.681818187,0.15384616,0.619718313,0,0.725000024,0.695121944,0,0.191011235,0.927835047,0.910112381,0.105263159,1,0.650793672,0.309523821,0.726190448
1542222172,0,0.610694289,0.652227879,0.738241255,0.570894718,0.816385984,0.66572386,0.132945493,0.681940854,0.823576808,1.776921391,1.603049636,0.907356977,0.590692937,1.372158051,1.188329101,0.472230107,0.98769027,0.49553442,-0.035594415,0.688348651,0.132001027,0.04694457,0.086501881,0.152237251,0.211967364,0.048426308,0.021464948,0.196592554,0.215506241,0.625574172,0.633627474,0.330356747,0.126059622,0.24632901,0.243844762,0.121298753,0.314465731,0.032725923,0.014560957,0.199514687,0.380281687,0.333333343,0.719298244,0.351851851,0.61403507,0.659090936,0.196078435,0.605633795,0,0.696202517,0.768292665,0,0.146067411,0.907216489,0.921348333,0.073684208,1,0.650793672,0.40476191,0.726190448
1542222172,0,0.622765183,0.652615964,0.779502928,0.57624048,0.894977152,0.654251635,0.154603645,0.66545403,0.862669349,1.74199748,1.670822859,0.853569806,0.582882822,1.327862144,1.184577584,0.450774878,1.002029181,0.501146317,0.001120061,0.666590154,0.126325771,0.05068757,0.085242197,0.163876072,0.236430705,0.050878838,0.020218799,0.201246843,0.219480589,0.622705877,0.663704216,0.310345083,0.115241677,0.239964902,0.216635332,0.122758031,0.302521259,0.035762828,0.014199458,0.201773986,0.394366205,0.333333343,0.789473712,0.351851851,0.754385948,0.636363626,0.235294119,0.577464759,0,0.666666687,0.853658557,0,0.134831458,0.855670094,0.910112381,0.05319149,1,0.666666687,0.5,0.690476179
1542222173,0,0.663090885,0.652615964,0.810498357,0.578469932,0.946965873,0.638242543,0.178898543,0.64399153,0.943342865,1.676414251,1.731561303,0.811960042,0.600516975,1.245007157,1.164947867,0.427817523,1.019562006,0.506684601,0.026231529,0.631006658,0.125513807,0.05828438,0.083349362,0.17512323,0.241305113,0.056386974,0.019467153,0.203641042,0.23930046,0.615673602,0.694968641,0.299801528,0.108671993,0.2280045,0.188517526,0.123791642,0.285208613,0.041650556,0.013697315,0.197642565,0.450704217,0.333333343,0.842105269,0.370370358,0.842105269,0.613636374,0.294117659,0.549295783,0,0.576923072,0.926829278,0,0.159090906,0.78125,0.887640476,0.031914894,1,0.661290348,0.536585391,0.65476191
1542222173,0,0.704025567,0.645686328,0.829358518,0.578469932,0.972827911,0.618786097,0.207531065,0.61853224,1.034325957,1.570537686,1.781214237,0.777647376,0.625900865,1.117232323,1.137749195,0.402659059,1.033143282,0.508099318,0.039275125,0.590341151,0.125543177,0.071218893,0.080737054,0.186104044,0.233128563,0.066941433,0.019286146,0.2040883,0.268592268,0.599027276,0.722651124,0.294396907,0.104874149,0.210931405,0.164234191,0.124149486,0.267861843,0.051880985,0.013091503,0.191261262,0.5,0.320987642,0.877192974,0.358490556,0.892857134,0.558139563,0.352941185,0.521126747,0.108433738,0.448717952,0.98780489,0,0.181818187,0.645833313,0.853932559,0,1,0.677419364,0.615384638,0.607142866
1542222173,0,0.729606748,0.609767199,0.832138717,0.578469932,0.979673207,0.596713305,0.24024038,0.591493905,1.109840989,1.421349764,1.819900393,0.746994138,0.642094553,0.952264905,1.121812344,0.37901786,1.035687089,0.500990808,0.041806422,0.550438881,0.124694929,0.087494269,0.076402999,0.197091624,0.221776366,0.084903531,0.019552941,0.203091666,0.299283683,0.566972733,0.742800355,0.29053089,0.101938121,0.192520678,0.148862064,0.124513395,0.252306908,0.068108805,0.012381638,0.184772402,0.54285717,0.283950627,0.877192974,0.358490556,0.927272737,0.488372087,0.411764711,0.478873253,0.207317069,0.256410271,1,0,0.204545453,0.473684222,0.840909064,0,1,0.661290348,0.615384638,0.554216862
1542222173,0,0.730588317,0.48966822,0.81681025,0.584833503,0.976652086,0.573573589,0.273961097,0.566018522,1.157727122,1.237958431,1.849576712,0.718697965,0.641086161,0.7793836,1.131017327,0.360771328,1.024644852,0.482194722,0.037355036,0.513018966,0.121684097,0.093058325,0.069940031,0.209944621,0.214435935,0.112891339,0.020039029,0.201043367,0.325366318,0.521249294,0.754209936,0.285738796,0.099022001,0.181330398,0.144189283,0.12532641,0.239491656,0.091470644,0.011621726,0.177946821,0.54285717,0.135802463,0.842105269,0.358490556,0.92592591,0.441860467,0.470588237,0.436619729,0.256097555,0.012820513,1,0,0.204545453,0.294736832,0.852272749,0,1,0.633333325,0.615384638,0.506024122
1542222173,0,0.730588317,0.34857595,0.793123603,0.598413348,0.970490932,0.551233828,0.303123772,0.544654429,1.177749395,1.04838872,1.870675921,0.693157613,0.624518752,0.648585796,1.161461949,0.354835033,1.002516389,0.453260452,0.030329807,0.478663445,0.122083619,0.091977537,0.063344814,0.224361897,0.212109447,0.146669447,0.020497987,0.19823949,0.341836482,0.460780919,0.757292092,0.279057264,0.095628604,0.183523476,0.147927657,0.128047407,0.228341848,0.117048614,0.01093748,0.170293942,0.54285717,0,0.807017565,0.403846145,0.92592591,0.395348847,0.529411793,0.400000006,0.280487806,0,1,0,0.181818187,0.157894731,0.885057449,0,1,0.583333313,0.589743614,0.469879508
