timestamp,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4,,label
1542224355.4616400,0.542769849,0.976584077,0.472682685,0.685770512,0.594568849,0.485771656,0.690453172,1.009868741,1.187656283,1.400042415,1.133260012,1.641904593,0.713210046,0.893580139,0.902591288,1.27263689,0.211547568,0.28316921,0.441742599,0.63453275,0.117809847,0.199884444,0.092163727,0.059173044,0.132733509,0.064560451,0.152170509,0.12480218,0.520077407,0.529952943,0.421829879,0.534882069,0.174430266,0.165110648,0.248009667,0.22855477,0.054948941,0.040491525,0.085826211,0.052587938,0.137254909,1,0,0.5,0,0.452054799,0.636363626,0.563636363,0.511627913,0.646551728,0,0.876923084,0.339622647,0.663043499,0.307692319,0.984251976,0,0.339622647,0.370967746,0,,
1542224355.5240400,0.542769849,0.976584077,0.475202501,0.685770512,0.594568849,0.487172216,0.682974219,1.009868741,1.187656283,1.391603827,1.182136893,1.641904593,0.713210046,0.892042875,0.944597483,1.27263689,0.211547568,0.276871294,0.427918017,0.63453275,0.117809847,0.202139437,0.08658015,0.059173044,0.132733509,0.065499678,0.139697954,0.12480218,0.520077407,0.525618732,0.440912813,0.534882069,0.174430266,0.166383341,0.255160451,0.22855477,0.054948941,0.040358804,0.07764864,0.052587938,0.137254909,1,0,0.5,0,0.452054799,0.609375,0.563636363,0.511627913,0.637931049,0.071428575,0.876923084,0.339622647,0.663043499,0.358974367,0.984251976,0,0.323809534,0.354838699,0,,
1542224355.6054100,0.530223846,0.976584077,0.487291753,0.685770512,0.553080976,0.49272868,0.68447566,1.001302958,1.268572807,1.376448274,1.282927155,1.677996993,0.785030067,0.885231137,1.013807535,1.307796597,0.162565798,0.276422739,0.415001661,0.630618572,0.102505751,0.206225544,0.076750927,0.055681013,0.108045161,0.067684166,0.120855816,0.115143552,0.561173439,0.517853141,0.479423225,0.54693234,0.184312344,0.167105034,0.257987976,0.233202547,0.043963287,0.041132122,0.064982072,0.049040537,0.117647059,1,0,0.5,0,0.458333343,0.609375,0.528301895,0.611764729,0.620689631,0.214285716,0.899999976,0.471698105,0.652173936,0.448717952,1,0,0.323809534,0.322580636,0,,
1542224355.7463500,0.530223846,0.976584077,0.509205699,0.685770512,0.553080976,0.501700401,0.694635808,0.990177989,1.268572807,1.359034777,1.40809989,1.717372656,0.785030067,0.874731362,1.093790054,1.346577168,0.162565798,0.283745855,0.398978114,0.631849408,0.102505751,0.210914686,0.066340417,0.051993884,0.108045161,0.070668064,0.101673625,0.104799643,0.561173439,0.508812189,0.525620639,0.559183598,0.184312344,0.166822299,0.254895717,0.238099784,0.043963287,0.042782739,0.051469576,0.045923099,0.117647059,1,0.040540539,0.48888889,0,0.472222209,0.625,0.509433985,0.611764729,0.617391288,0.385714293,0.930769205,0.471698105,0.641304374,0.551282048,1,0,0.333333343,0.306451619,0,,
1542224355.8127700,0.530223846,0.976584077,0.690809608,0.685770512,0.553080976,0.513626039,0.707782388,0.972380042,1.268572807,1.343558669,1.523286104,1.760123968,0.785030067,0.864023089,1.166829109,1.387034059,0.162565798,0.296246439,0.374718934,0.631490529,0.102505751,0.214924872,0.081203736,0.048283499,0.108045161,0.074016519,0.084440112,0.093413204,0.561173439,0.500335395,0.55214417,0.572996795,0.184312344,0.165853903,0.242993966,0.242695823,0.043963287,0.044869274,0.03921799,0.042610709,0.117647059,1,0.283783793,0.48888889,0,0.486111104,0.65625,0.471698105,0.611764729,0.600000024,0.557142854,0.969230771,0.471698105,0.630434811,0.641025662,1,0,0.346153855,0.258064508,0,,
1542224355.9501400,0.530223846,0.976584077,0.690809608,0.682768703,0.553080976,0.52638793,0.693612754,0.945390403,1.268572807,1.33267045,1.540673256,1.805173755,0.785030067,0.857526779,1.177231193,1.427123547,0.162565798,0.308251798,0.342982203,0.623794436,0.102505751,0.217400074,0.079380378,0.044424098,0.108045161,0.077101626,0.079894401,0.081328034,0.561173439,0.49356699,0.561793625,0.588875711,0.184312344,0.165273175,0.243295878,0.246588871,0.043963287,0.04665814,0.03563574,0.038783263,0.117647059,1,0.283783793,0.5,0,0.5,0.625,0.423076928,0.611764729,0.591304362,0.585714281,1,0.471698105,0.619565189,0.653846145,1,0,0.365384609,0.209677413,0,,
1542224356.0446600,0.530223846,0.976584077,0.689693391,0.682768703,0.553080976,0.537725627,0.682474196,0.913090467,1.268572807,1.326628804,1.558583498,1.84758997,0.785030067,0.851559103,1.190864682,1.456965685,0.162565798,0.314695865,0.30457145,0.606683552,0.102505751,0.218786612,0.077157535,0.041493483,0.108045161,0.079645693,0.075885564,0.07051827,0.561173439,0.489852667,0.570516884,0.606458545,0.184312344,0.164057389,0.24465251,0.2467044,0.043963287,0.047657639,0.031787504,0.034825288,0.117647059,1,0.283783793,0.5,0,0.527777791,0.619047642,0.365384609,0.611764729,0.578947365,0.614285707,1,0.471698105,0.615384638,0.675324678,1,0,0.365384609,0.145161286,0,,
1542224356.0978900,0.530223846,0.976584077,0.685734868,0.676305234,0.553080976,0.543462336,0.679969549,0.885417938,1.268572807,1.319481611,1.576076388,1.877684355,0.785030067,0.844229758,1.208909392,1.465701342,0.162565798,0.31281969,0.266770124,0.583738983,0.102505751,0.220971465,0.074227519,0.039241444,0.108045161,0.08151067,0.073248647,0.063512273,0.561173439,0.486669004,0.576642334,0.62391305,0.184312344,0.1629228,0.247593626,0.241624534,0.043963287,0.047926068,0.028287869,0.031708721,0.117647059,1,0.270270258,0.477272719,0,0.527777791,0.619047642,0.307692319,0.611764729,0.584070802,0.628571451,1,0.471698105,0.604395628,0.701298714,1,0,0.365384609,0.080645159,0,,
1542224356.2443500,0.530223846,0.976584077,0.685734868,0.669178843,0.553080976,0.541990757,0.688574731,0.875946164,1.268572807,1.308283687,1.594515204,1.886996746,0.785030067,0.833510458,1.230273724,1.444034815,0.162565798,0.305693746,0.238025829,0.562861621,0.102505751,0.224888042,0.071568862,0.038669791,0.108045161,0.082674779,0.07203839,0.062249962,0.561173439,0.482687384,0.580102086,0.638542354,0.184312344,0.161768064,0.250762731,0.230264932,0.043963287,0.047981746,0.0255279,0.030272938,0.117647059,1,0.270270258,0.477272719,0,0.527777791,0.634920657,0.25999999,0.611764729,0.566371679,0.657142878,1,0.471698105,0.600000024,0.727272749,1,0,0.349514574,0.049180329,0,,
1542224356.3221100,0.530223846,0.940953672,0.685734868,0.652160227,0.553080976,0.534224927,0.704686582,0.888913572,1.268572807,1.29433918,1.617569089,1.871365547,0.785030067,0.827145159,1.253704906,1.385790586,0.162565798,0.300028473,0.224448323,0.55342716,0.102505751,0.215225175,0.068325862,0.039211944,0.108045161,0.08436539,0.07137347,0.06763503,0.561173439,0.485599875,0.584008813,0.649566591,0.184312344,0.165609241,0.252670854,0.212348267,0.043963287,0.049200311,0.023621017,0.031238148,0.117647059,0.972972989,0.270270258,0.431818187,0,0.513888896,0.633333325,0.300000012,0.611764729,0.557522118,0.685714304,1,0.471698105,0.588888884,0.753246725,1,0,0.349514574,0.016393442,0,,
