timestamp,label,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4
1542224530,0,0.684827209,0.59222132,0.5788396,0.225603491,0.613819122,0.77727145,0.316401184,0.976292014,0.501061678,1.136672378,1.706724405,0.272948772,0.646556795,0.292589307,1.10327208,-0.044684097,0.298733085,0.665318966,0.302627981,0.795978189,0.261037648,0.129545897,0.05306381,0.083314225,0.221663937,0.198368996,0.028997462,0.469253659,0.170976952,0.453810692,0.712333143,0.092910431,0.239019156,0.064981788,0.177513286,0.044712771,0.107302293,0.153292641,0.028092267,0.30980891,0.600000024,0.555555582,0.626666665,0.109890111,0.149253726,0.842105269,0.18965517,0.779999971,0.245762706,0.252747267,0.905660391,0.120967738,0.53061223,0,0.876190484,0.109375,0,0.813186824,0.631578922,0.686274529
1542224530,0,0.674203932,0.59222132,0.551554203,0.213009581,0.620416403,0.782518327,0.287249357,0.981100559,0.477321506,1.161944985,1.74171257,0.295248121,0.653679013,0.286922514,1.124737263,-0.046506178,0.261129051,0.648354709,0.311729074,0.81774056,0.25912413,0.126647189,0.046824612,0.079076909,0.22893928,0.196287468,0.025478235,0.463597,0.164674148,0.47023958,0.725491822,0.095562652,0.2471627,0.06270422,0.175249711,0.043504473,0.100099742,0.144121557,0.026955603,0.318258971,0.576271176,0.555555582,0.586666644,0.0989011,0.164179102,0.855263174,0.137931034,0.800000012,0.220338985,0.285714298,0.952380955,0.137096778,0.540816307,0,0.895238101,0.102362208,0,0.802197814,0.67567569,0.725490212
1542224531,0,0.62745285,0.59222132,0.517220199,0.177041546,0.623192966,0.780221701,0.265221328,0.98646605,0.486916125,1.174923182,1.750737667,0.308887333,0.647753954,0.279170722,1.128407717,-0.040782668,0.22309421,0.640423477,0.319521517,0.82875216,0.240629479,0.125453904,0.042735834,0.071979985,0.238280743,0.193412513,0.023921771,0.464126378,0.174105346,0.479938954,0.731660545,0.09751188,0.252144724,0.06101457,0.174574077,0.043590065,0.0948397,0.140180081,0.027107753,0.322791696,0.491525412,0.550000012,0.533333361,0.054945055,0.169230774,0.853333354,0.103448279,0.800000012,0.228813559,0.296703309,0.961904764,0.153225809,0.540816307,0,0.90476191,0.11023622,0,0.788888872,0.702702701,0.764705896
1542224531,0,0.521813929,0.59222132,0.491344035,0.133855373,0.619068801,0.770840168,0.251123965,0.995397389,0.51002574,1.174439788,1.744066477,0.302048117,0.627905011,0.265554518,1.126886487,-0.021208256,0.192346364,0.642595768,0.323297918,0.828007638,0.201238409,0.126191795,0.040867232,0.064987086,0.251747847,0.190392569,0.023504723,0.472464383,0.195849597,0.482224882,0.731303513,0.095723771,0.256922394,0.059479088,0.176570296,0.045474026,0.094241746,0.141711667,0.027754223,0.321350753,0.322033912,0.550000012,0.50666666,0.010989011,0.169230774,0.839999974,0.086206898,0.819999993,0.254237294,0.296703309,0.951923072,0.145161286,0.520408154,0,0.895238101,0.125984251,0,0.788888872,0.702702701,0.764705896
1542224531,0,0.392625481,0.59222132,0.459630609,0.095940351,0.606576383,0.756393194,0.244495258,1.006156087,0.533887208,1.161728621,1.731260896,0.27222389,0.599861681,0.247052178,1.12603128,0.011757157,0.171552896,0.65142107,0.323344618,0.81903255,0.160420239,0.128729105,0.038956504,0.059728689,0.262548834,0.187866181,0.023738027,0.485734224,0.222085863,0.477731675,0.728132248,0.089632712,0.258520752,0.058144361,0.180709362,0.049203929,0.096424326,0.147528693,0.028463874,0.315700442,0.101694912,0.550000012,0.466666669,0,0.140625,0.813333333,0.068965517,0.839999974,0.271186441,0.288888901,0.942307711,0.120967738,0.489795923,0,0.895238101,0.149606302,0,0.800000012,0.702702701,0.745098054
1542224531,0,0.392625481,0.59222132,0.441288739,0.193122655,0.606576383,0.74190557,0.238472879,0.973301828,0.533887208,1.141573787,1.719877601,0.143409729,0.599861681,0.234550223,1.126634479,0.010887752,0.171552896,0.662822425,0.322160989,0.764060199,0.160420239,0.132104814,0.038131036,0.081296802,0.262548834,0.186467409,0.023903569,0.490063816,0.222085863,0.468027264,0.724214971,0.072503768,0.258520752,0.057975907,0.184766948,0.05343657,0.096424326,0.155424595,0.028983502,0.302699029,0.101694912,0.550000012,0.432432443,0.078651689,0.140625,0.800000012,0.068965517,0.779999971,0.271186441,0.266666681,0.931372523,0.016129032,0.489795923,0,0.902912617,0.150793657,0,0.811111093,0.702702701,0.627451003
1542224531,0,0.392625481,0.595845699,0.402294368,0.193122655,0.606576383,0.732962847,0.231533855,0.926886082,0.533887208,1.121438742,1.713792324,0.012640635,0.599861681,0.249273196,1.126424074,0.03571108,0.171552896,0.674407542,0.323741734,0.711703062,0.160420239,0.135611683,0.035341203,0.090305768,0.262548834,0.18595773,0.023851782,0.489191502,0.222085863,0.454873025,0.724067986,0.059598248,0.258520752,0.06105547,0.187245354,0.062849805,0.096424326,0.16250208,0.029493663,0.298054665,0.101694912,0.550000012,0.378378391,0.078651689,0.140625,0.786666691,0.05172414,0.680000007,0.271186441,0.244444445,0.921568632,0,0.489795923,0,0.90196079,0.166666672,0,0.822222233,0.702702701,0.529411793
1542224531,0,0.392625481,0.611202478,0.397278577,0.196104586,0.606576383,0.730720401,0.221717447,0.866213799,0.533887208,1.105969429,1.712175488,-0.065033406,0.599861681,0.298303366,1.125345111,0.082917102,0.171552896,0.68553853,0.328068286,0.669843197,0.160420239,0.140559927,0.035068616,0.100261427,0.262548834,0.185088485,0.023407631,0.469075859,0.222085863,0.439165771,0.724128187,0.054953568,0.258520752,0.068385243,0.187493011,0.077258527,0.096424326,0.166800573,0.029902557,0.298450619,0.101694912,0.574999988,0.364864856,0.078651689,0.140625,0.786666691,0.034482758,0.571428597,0.271186441,0.222222224,0.921568632,0,0.489795923,0.045454547,0.90196079,0.206349209,0,0.833333313,0.729729712,0.450980395
1542224531,0,0.392625481,0.62204808,0.362288147,0.193709835,0.606576383,0.730928242,0.210688248,0.804418921,0.533887208,1.092971206,1.711930275,-0.418411523,0.599861681,0.36994648,1.122412682,0.071045868,0.171552896,0.695798159,0.331603348,0.643340945,0.160420239,0.143120185,0.032507695,0.112426966,0.262548834,0.183899716,0.022929061,0.458753705,0.222085863,0.423276424,0.727157235,0.027463073,0.258520752,0.080093876,0.187115893,0.084763043,0.096424326,0.169609815,0.030290145,0.31659323,0.101694912,0.587499976,0.32432431,0.079545453,0.140625,0.786666691,0.017241379,0.448979586,0.271186441,0.211111113,0.921568632,0,0.489795923,0.125,0.90196079,0.198412701,0,0.844444454,0.75,0.392156869
1542224531,0,0.106864922,0.644293964,0.364219815,0.304187149,0.364742398,0.72703433,0.199144259,0.79016012,0.812786579,1.075582743,1.708001852,-0.318782032,0.086571731,0.439281046,1.113389373,0.150809914,0.312759966,0.703377783,0.330203146,0.657203019,0.095671736,0.149726167,0.033014093,0.137801692,0.173245177,0.1811499,0.022574795,0.421917439,0.486077249,0.404190868,0.728586972,0.032831095,0.091304138,0.093386658,0.185297251,0.096800432,0.153701708,0.1715464,0.030526901,0.310649335,0,0.612500012,0.32432431,0.206896558,0,0.773333311,0,0.428571433,0.508474588,0.188888893,0.911764681,0,0,0.204545453,0.892156839,0.261904776,0,0.855555534,0.75,0.411764711
