timestamp,label,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4
1542652487,0,1.171970963,0.310506523,0.722759426,0.891767502,1.109063864,0.535322726,1.00418365,1.465678215,1.136169672,1.509533048,1.403666019,1.075785279,0.809115112,0.992029786,0.412566751,0.34688428,0.87884587,0.386941105,0.854490995,1.325302124,0.268178254,0.040837843,0.104690813,0.107813276,0.232015222,0.068529718,0.200139478,0.40418753,0.246957585,0.645787001,0.502128899,0.164698631,0.116296798,0.196148977,0.0512526,0.030746026,0.13655214,0.048696455,0.141788214,0.292554557,0.564705908,0,0.200000003,0,0.314285725,0.603773594,0.689655185,0.979591846,0.866666675,0.703225791,0.368421048,0.656000018,0.583333313,0.762295067,0,0,0.200000003,0.5,0.128205135,0.560975611
1542652487,0,0.844045818,0.310506523,0.722759426,0.395485282,0.96737659,0.53315407,0.986254692,1.024955153,0.799714684,1.434841037,1.368610263,0.211763591,-0.184338197,0.913030028,0.432034433,0.279793054,0.699721515,0.372604936,0.83595264,0.739750206,0.247383997,0.047298063,0.110271439,0.112471528,0.328626364,0.078975223,0.202282503,0.479195267,0.223378047,0.62976402,0.487880945,0.073675133,0.023173286,0.189394251,0.056459632,0.086168863,0.177438289,0.054568466,0.143105477,0.248489201,0.176470593,0,0.200000003,0,0,0.603773594,0.620689631,0.081632651,0.426666677,0.651612878,0.328947365,0,0,0.696721315,0,0,0,0.474999994,0.07692308,0
1542652487,0,0.851854622,0.310506523,0.724169016,0.395485282,1.015592456,0.525279999,0.975059032,1.08235383,0.76167202,1.329651713,1.339954972,0.185321853,-0.160552561,0.812528014,0.449520886,0.266236067,0.770514131,0.345986217,0.821258068,0.74423939,0.238276392,0.0576283,0.115045711,0.105776846,0.347391278,0.094495095,0.205003113,0.514350593,0.193596914,0.602255821,0.474959254,0.065196939,0.023156548,0.183086887,0.061125483,0.078549139,0.197578877,0.062533893,0.143866435,0.236126497,0.188235298,0,0.176470593,0,0.028571429,0.576923072,0.586206913,0.20408164,0.373333335,0.590909064,0.289473683,0,0,0.608333349,0,0,0,0.400000006,0.051282052,0
1542652487,0,0.854018688,0.310506523,0.724169016,0.405069083,1.061173081,0.510987639,0.968555033,1.132291198,0.723712742,1.190620661,1.340939999,0.155569658,-0.1532785,0.679924071,0.468843549,0.255696505,0.827258766,0.311174184,0.812188387,0.752630472,0.227760166,0.073980659,0.115294866,0.101685718,0.366971344,0.117381416,0.202393234,0.542602897,0.168722063,0.561348259,0.477068752,0.05724803,0.022396524,0.173195168,0.064044893,0.072092049,0.214149907,0.074094482,0.141198248,0.226371288,0.188235298,0,0.176470593,0,0.171428576,0.557692289,0.586206913,0.306122452,0.319999993,0.5,0.289473683,0,0,0.5,0,0,0.090909094,0.324999988,0.025641026,0
1542652487,0,0.915665329,0.266525716,0.724169016,0.438245058,1.093014836,0.489261061,0.963310897,1.165936708,0.697081327,1.021333694,1.384461761,0.146329924,-0.162505001,0.512367308,0.498528749,0.246133521,0.863471925,0.276445299,0.806120872,0.760983348,0.245148018,0.08976239,0.10975986,0.104193933,0.368788958,0.149909705,0.190364271,0.556588292,0.148198694,0.510390222,0.502037585,0.053201918,0.020476609,0.158101499,0.065283477,0.066946968,0.217387721,0.091836214,0.13255477,0.219068885,0.222222224,0,0.176470593,0,0.257142872,0.519230783,0.551724136,0.367346942,0.283783793,0.394736856,0.342105269,0,0,0.358333319,0.014925373,0,0.212121218,0.205128208,0,0
1542652487,0,0.915665329,0.16408658,0.724169016,0.438245058,1.093014836,0.4586519,0.958643615,1.165936708,0.697081327,0.847064793,1.463045001,0.146329924,-0.162505001,0.317684114,0.534171283,0.246133521,0.863471925,0.249786764,0.800945997,0.760983348,0.245148018,0.095857777,0.099640623,0.104193933,0.368788958,0.188882917,0.170966491,0.556588292,0.148198694,0.461961299,0.546150506,0.053201918,0.020476609,0.136528999,0.064333722,0.066946968,0.217387721,0.116769001,0.118908644,0.219068885,0.222222224,0,0.176470593,0,0.257142872,0.470588237,0.551724136,0.375,0.273972601,0.276315778,0.447368413,0,0,0.201680675,0.045454547,0,0.212121218,0.15384616,0,0
1542652487,0,0.915665329,0.094626993,0.724169016,0.438245058,1.093014836,0.417759955,0.958643615,1.165936708,0.697081327,0.707268953,1.463045001,0.146329924,-0.162505001,0.145314395,0.534171283,0.246133521,0.863471925,0.233321756,0.800945997,0.760983348,0.245148018,0.103059627,0.099640623,0.104193933,0.368788958,0.216881007,0.170966491,0.556588292,0.148198694,0.422406435,0.546150506,0.053201918,0.020476609,0.115817972,0.064333722,0.066946968,0.217387721,0.141834974,0.118908644,0.219068885,0.222222224,0,0.176470593,0,0.257142872,0.392156869,0.571428597,0.375,0.273972601,0.184210524,0.447368413,0,0,0.050420169,0.045454547,0,0.212121218,0.102564104,0,0
1542652488,0,0.915665329,0.054136612,0.724169016,0.438245058,1.093014836,0.371666312,0.958643615,1.165936708,0.697081327,0.620006323,1.463045001,0.146329924,-0.162505001,0.155561045,0.534171283,0.246133521,0.863471925,0.226355776,0.800945997,0.760983348,0.245148018,0.105181471,0.099640623,0.104193933,0.368788958,0.218508795,0.170966491,0.556588292,0.148198694,0.387087315,0.546150506,0.053201918,0.020476609,0.132850647,0.064333722,0.066946968,0.217387721,0.156371787,0.118908644,0.219068885,0.222222224,0,0.176470593,0,0.257142872,0.294117659,0.571428597,0.375,0.273972601,0.125827819,0.447368413,0,0,0.05882353,0.045454547,0,0.212121218,0.07692308,0,0
1542652488,0,0.915665329,0.139617816,0.724169016,0.438245058,1.093014836,0.330223918,0.958643615,1.165936708,0.697081327,0.587590218,1.463045001,0.146329924,-0.162505001,0.38134104,0.534171283,0.246133521,0.863471925,0.229363054,0.800945997,0.760983348,0.245148018,0.120040931,0.099640623,0.104193933,0.368788958,0.186181039,0.170966491,0.556588292,0.148198694,0.336745441,0.546150506,0.053201918,0.020476609,0.209436595,0.064333722,0.066946968,0.217387721,0.147596002,0.118908644,0.219068885,0.222222224,0,0.176470593,0,0.257142872,0.215686277,0.571428597,0.375,0.273972601,0.105960265,0.453333348,0,0,0.252100855,0.045454547,0,0.212121218,0.102564104,0,0
1542652488,0,0.915665329,0.403097659,0.724169016,0.438245058,1.093014836,0.30833137,0.943713903,1.165936708,0.697081327,0.611899137,1.47878623,0.146329924,-0.162505001,0.656185746,0.537649989,0.246133521,0.863471925,0.244680986,0.772509158,0.760983348,0.245148018,0.169301391,0.098912418,0.104193933,0.368788958,0.136111319,0.16398181,0.556588292,0.148198694,0.273817986,0.562170446,0.053201918,0.020476609,0.303213567,0.064377159,0.066946968,0.217387721,0.117555737,0.110558189,0.219068885,0.224999994,0.200000003,0.176470593,0,0.257142872,0.176470593,0.5,0.318181813,0.273972601,0.119205296,0.479999989,0,0,0.478991598,0.060606062,0,0.212121218,0.128205135,0,0
