timestamp,label,alpha_absolute_ch1,alpha_absolute_ch2,alpha_absolute_ch3,alpha_absolute_ch4,beta_absolute_ch1,beta_absolute_ch2,beta_absolute_ch3,beta_absolute_ch4,delta_absolute_ch1,delta_absolute_ch2,delta_absolute_ch3,delta_absolute_ch4,theta_absolute_ch1,theta_absolute_ch2,theta_absolute_ch3,theta_absolute_ch4,gamma_absolute_ch1,gamma_absolute_ch2,gamma_absolute_ch3,gamma_absolute_ch4,alpha_relative_ch1,alpha_relative_ch2,alpha_relative_ch3,alpha_relative_ch4,beta_relative_ch1,beta_relative_ch2,beta_relative_ch3,beta_relative_ch4,delta_relative_ch1,delta_relative_ch2,delta_relative_ch3,delta_relative_ch4,theta_relative_ch1,theta_relative_ch2,theta_relative_ch3,theta_relative_ch4,gamma_relative_ch1,gamma_relative_ch2,gamma_relative_ch3,gamma_relative_ch4,alpha_session_score_ch1,alpha_session_score_ch2,alpha_session_score_ch3,alpha_session_score_ch4,beta_session_score_ch1,beta_session_score_ch2,beta_session_score_ch3,beta_session_score_ch4,delta_session_score_ch1,delta_session_score_ch2,delta_session_score_ch3,delta_session_score_ch4,theta_session_score_ch1,theta_session_score_ch2,theta_session_score_ch3,theta_session_score_ch4,gamma_session_score_ch1,gamma_session_score_ch2,gamma_session_score_ch3,gamma_session_score_ch4
1542221256.35593,0,0.935109615,0.928030372,0.451522857,0.819356978,1.128181338,0.524394333,0.092067212,1.602845788,1.865754604,1.354025602,0.877679348,1.399365187,1.347213149,0.864074647,0.470549971,0.730823815,1.218616009,0.259878039,-0.140708148,1.55143404,0.064153463,0.194575533,0.185000494,0.05852126,0.100067228,0.076816089,0.080856927,0.355469614,0.546846032,0.518899858,0.493547976,0.222495854,0.165700406,0.167931646,0.193285823,0.047728803,0.123232841,0.041776873,0.047308791,0.315784454,0,0.652777791,0.049180329,0.245614037,0.214285716,0.694915235,0,1,1,0.538461566,0.317460328,0.905982912,1,0.453608245,0.339449555,0.425742567,0.659090936,0.915254235,0.09375,1
1542221256.44294,0,0.935109615,0.928030372,0.472994089,0.819356978,1.128181338,0.54110539,0.078550048,1.602845788,1.865754604,1.551067352,0.865622222,1.399365187,1.347213149,0.921370685,0.484544903,0.730823815,1.218616009,0.274123073,-0.160320371,1.55143404,0.064153463,0.146737903,0.194839269,0.05852126,0.100067228,0.060202885,0.078565598,0.355469614,0.546846032,0.61599803,0.481176734,0.222495854,0.165700406,0.14450492,0.20009087,0.047728803,0.123232841,0.032556299,0.045327526,0.315784454,0,0.652777791,0.081967212,0.245614037,0.214285716,0.741379321,0,1,1,0.766666651,0.30399999,0.905982912,1,0.520833313,0.33644861,0.425742567,0.659090936,0.947368443,0.0625,1
1542221256.52283,0,0.935109615,0.928030372,0.504519165,0.819356978,1.128181338,0.568875134,0.071205743,1.602845788,1.865754604,1.71997714,0.883357167,1.399365187,1.347213149,0.983213544,0.518959701,0.730823815,1.218616009,0.295812041,-0.179991946,1.55143404,0.064153463,0.111114368,0.199931413,0.05852126,0.100067228,0.048597623,0.073716998,0.355469614,0.546846032,0.688203752,0.478320599,0.222495854,0.165700406,0.126169235,0.206691027,0.047728803,0.123232841,0.025915042,0.041339949,0.315784454,0,0.652777791,0.131147534,0.245614037,0.214285716,0.793103456,0,1,1,0.955555558,0.319999993,0.905982912,1,0.578947365,0.373831779,0.425742567,0.659090936,0.982456148,0.03125,1
1542221256.65169,0,0.935109615,0.928030372,0.505876064,0.819356978,1.128181338,0.594115019,0.070326269,1.602845788,1.865754604,1.831739187,0.907377422,1.399365187,1.347213149,1.025668859,0.555182755,0.730823815,1.218616009,0.318944961,-0.202286348,1.55143404,0.064153463,0.091132507,0.192180455,0.05852126,0.100067228,0.042243317,0.070495181,0.355469614,0.546846032,0.730099738,0.484407187,0.222495854,0.165700406,0.114106871,0.215286091,0.047728803,0.123232841,0.02241754,0.037631091,0.315784454,0,0.652777791,0.131147534,0.245614037,0.214285716,0.827586234,0,1,1,1,0.338709682,0.905982912,1,0.621052623,0.401869148,0.425742567,0.659090936,1,0,1
1542221256.72201,0,0.935109615,0.928030372,0.486849487,0.819356978,1.128181338,0.607458591,0.07586056,1.602845788,1.865754604,1.889217973,0.919068038,1.399365187,1.347213149,1.043378115,0.581644177,0.730823815,1.218616009,0.337931126,-0.227734283,1.55143404,0.064153463,0.082073003,0.180820599,0.05852126,0.100067228,0.039230924,0.070187375,0.355469614,0.546846032,0.750564396,0.489177465,0.222495854,0.165700406,0.107040487,0.22492753,0.047728803,0.123232841,0.021091189,0.034887042,0.315784454,0,0.652777791,0.098360658,0.245614037,0.214285716,0.844827592,0,1,1,1,0.344262302,0.905982912,1,0.642105281,0.429906547,0.425742567,0.659090936,1,0,1
1542221256.80335,0,0.935109615,0.928030372,0.470989645,0.870720029,1.128181338,0.61047554,0.084456325,1.358233333,1.865754604,1.906001449,0.917931139,1.049418211,1.347213149,1.052694201,0.594343543,0.539511919,1.218616009,0.349887431,-0.252600938,1.208759427,0.064153463,0.07946983,0.174620539,0.121565394,0.100067228,0.038251411,0.071707077,0.373528063,0.546846032,0.755393803,0.488693774,0.183445916,0.165700406,0.105892718,0.231979311,0.05670245,0.123232841,0.020992266,0.032999303,0.26475817,0,0.652777791,0.081967212,0.333333343,0.214285716,0.862068951,0,0.710526288,1,1,0.344262302,0.603448272,1,0.652631581,0.439252347,0.237623766,0.659090936,1,0,0.460000008
1542221256.95524,0,0.935109615,0.928388238,0.454866976,0.873685479,1.128181338,0.608543038,0.090515643,1.361064076,1.865754604,1.899176598,0.911316633,1.104292512,1.347213149,1.065859437,0.595814645,0.513051391,1.218616009,0.355630696,-0.272242904,1.242348552,0.064153463,0.080204554,0.170544684,0.117024496,0.100067228,0.038401999,0.073703282,0.35946396,0.546846032,0.749872446,0.48785165,0.199014083,0.165700406,0.110070318,0.235931441,0.051008508,0.123232841,0.0214507,0.031968944,0.273488969,0,0.647887349,0.049180329,0.333333343,0.214285716,0.862068951,0.014705882,0.736842096,1,1,0.336065561,0.646551728,1,0.66315788,0.439252347,0.20792079,0.659090936,1,0,0.519999981
1542221257.01207,0,0.935109615,0.931628823,0.45476535,0.881635547,1.128181338,0.606131673,0.089479871,1.353016138,1.865754604,1.881979227,0.905709803,1.147992253,1.347213149,1.090367675,0.589827657,0.506336451,1.218616009,0.356165469,-0.284188807,1.271242738,0.064153463,0.082649074,0.172326386,0.115193665,0.100067228,0.039060768,0.074313261,0.341043025,0.546846032,0.737205088,0.486739099,0.212708697,0.165700406,0.119117849,0.235187411,0.048543323,0.123232841,0.021967197,0.031433854,0.282511294,0,0.647887349,0.049180329,0.339285702,0.214285716,0.859649122,0.014705882,0.710526288,1,1,0.327868849,0.681034505,1,0.694736838,0.439252347,0.198019803,0.659090936,1,0,0.579999983
1542221257.10365,0,0.935109615,0.931628823,0.455895871,0.917539418,1.128181338,0.60835135,0.080109209,1.339082956,1.865754604,1.905532122,0.899207413,1.180696249,1.347213149,1.085571647,0.578148425,0.519847035,1.218616009,0.36503607,-0.290903986,1.290877938,0.064153463,0.079437435,0.17542325,0.121430598,0.100067228,0.037735291,0.07384149,0.320532262,0.546846032,0.748046339,0.486853957,0.22257939,0.165700406,0.113231704,0.232455432,0.048599947,0.123232841,0.021549264,0.031425867,0.286857814,0,0.647887349,0.049180329,0.392857134,0.214285716,0.877192974,0,0.684210539,1,1,0.327868849,0.721739113,1,0.684210539,0.433962256,0.217821777,0.659090936,1,0,0.632653058
1542221257.25501,0,0.935109615,0.931628823,0.455895871,0.930353999,1.128181338,0.606867194,0.06878408,1.322485566,1.865754604,1.933879375,0.891718864,1.199982643,1.347213149,1.090053201,0.558232069,0.569982827,1.218616009,0.371611834,-0.296029925,1.304936528,0.064153463,0.075523093,0.179188311,0.122963108,0.100067228,0.035753462,0.07348486,0.303323716,0.546846032,0.759154737,0.488801658,0.228772327,0.165700406,0.108768746,0.22680147,0.053629495,0.123232841,0.020799972,0.0317237,0.291311353,0,0.647887349,0.049180329,0.428571433,0.214285716,0.859649122,0,0.621621609,1,1,0.319672137,0.739130437,1,0.691489339,0.409523815,0.267326742,0.659090936,1,0,0.653061211
